,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
998,sjajan film obožavam Kim Bejsindžer od mene 10,None,None,Positive,None,Positive,None,None
999,"Odličan film, ali sa toliko mnogo likova i toliko zakomplikovanom pričom da sam nekoliko puta morao da ga premotavam unazad i da pročitam par tekstova sa interneta da bih uspeo sve da povežem. Od mene ocena 9/10.",Neutral,None,None,None,Positive,None,None
0,"Jako dugo sam čekao ovaj film i odgledavši ga mogu reći da je SAVRŠEN ! Svaki detalj je savršeno urađen, od slike, muzika, likova! Svaka preporuka! :)",None,Positive,Positive,Positive,Positive,None,Positive
1,"Za ovo se apsolutno slažem. Odličan film i odlična fotografija, ko želi da ga odgleda neka to učini sa najboljim kvalitetom slike.",None,None,None,None,Positive,Positive,Positive
2,"slažem se sa svim napisanim, gatsby sa robertom redfordom je savršen, jedino što valja kod ovog je fotografija i kostimi",None,None,None,None,None,None,Positive
3,"Ovaj film obožavam, zbog Odri, muzike, neobično ispričane priče, fotografije... I, da TOTU je, a ne TaTU.",Positive,None,Positive,Positive,Positive,None,Positive
5,"Ja sam se ovom baš bio radovao, ali je zaista po svim pitanjima nesnosan.",None,None,None,None,Negative,None,None
9,"gledao ga pre godinu, fantastičan film, često ga se setim :D",None,None,None,None,Positive,None,None
17,"Film je predivan, čak i za višu ocenu.",None,None,None,None,Positive,None,None
18,"Gledljiv film koji ne pruža ništa više od toga, a i ne očekujem od takvih filmova neki posebni kvalitet gde je većina stvari generički odrađena.",None,None,None,None,Neutral,None,None
19,"Odlično napisana recenzija! U potpunosti se slažem. Film solidno gura negde malo više od polovine a onda se načisto raspadne. Ne preporučujem film za gledanje u bioskopu, upravo zbog samog kraja gde mi je baš zbog te ""sramote"" bilo žao što sam platio ulaznicu.",None,None,None,None,Negative,Positive,None
21,Sjajan film! Hvala za recenziju Sandra.,None,None,None,None,Positive,None,None
22,"Odavno nisam gledao gore smeće.... nema to nikakve veze sa nacionalnom pripadnošću, e moj Roberte... mrlja u karijeri...",None,None,Negative,None,Negative,None,None
24,"Ja zaista obožavam da se smejem glupim filmovima, ali ono što razlikuje ovaj treš od mnogih, jeste to što ""Killing Season"" sebe prilično ozbiljno doživljava, stoga je taj faktor samoismevanja nepostojeći, a onda kada se uoči da se nisu zezali, sve nekako postaje otužno.",None,None,None,None,Negative,None,None
25,"Film je treš, toliko loš da je u stvari odličan. Drago mi je da sam te nasmejao, taman srećan da spavaš noćas xD",None,None,None,None,Negative,None,None
26,"Džontra je u ovom filmu baš ono ""da nije smešno bilo bi tužno"".. Ali ovaj komentar i ocena su samo smešni.. :)",None,None,Negative,None,None,None,None
29,"Odličan film, topla preporuka!",None,None,None,None,Positive,None,None
31,Odličan film i recenzija. Samo nastavite tako.,None,None,None,None,Positive,Positive,None
32,Izvini Sandra nisam video i zahvaljujem se na sjajnoj recenziji i samo nastavi tako :))),None,None,None,None,None,Positive,None
35,Moj omiljeni glumac u omiljenoj ulozi. Gledanje ovog filma mi daje snage i pozitivnog adrenalina.,None,None,None,None,Positive,None,None
36,jedan sjajan klasik legendarnog klinta istvuda uloga prljavog inspektora Harija i rečenica koja se pamti make my day,None,None,None,None,Positive,None,None
37,"nije loše za opuštanje, malo smeha i malo Anistonova (kao striperka), fino dok ne upada u kliše američke komedije!",None,None,Positive,None,Neutral,None,None
38,"očajan film, kec zabetoniran za sva vremena, kakva crna šestica!",None,None,None,None,Negative,None,None
39,Mnogo smešno!!! Dženifer je doprinela više nego dovoljno... :) Pogledati! 8/10,None,None,Positive,None,Positive,None,None
40,"solidna komedija, ništa specijalno ali za nedeljno popodne ili neko veče sasvim ok. gluma slaba, deca su mi daleko bolja, Rejčel i Džejson nekako usiljeni. Slažem se 6/10",None,None,Negative,None,Neutral,None,None
41,Ovo je filmčina i po...,None,None,None,None,Positive,None,None
42,"gledala sam davno film, možda godinu dana nakon što se pojavio ali ostao mi je urezan u sećanju, pogotovo ona scena kada sanja da leti ka obali uz muziku karuza... prekrasan film, jedna dirljiva priča, jedan od najboljih filmova obojice",None,None,None,None,Positive,None,None
44,"Havijer Bardem me je prijatno iznenadio u filmu: Biutiful, i zato jedva čekam da pogledam i ovaj film. :)",None,None,Positive,None,None,None,None
52,Genijalan :),None,None,None,None,Positive,None,None
53,Brutalan film!,None,None,None,None,Positive,None,None
54,Izvrstan film!!!!,None,None,None,None,Positive,None,None
55,"Gael Garsija Bernal, mi je jedan od omiljenih glumaca, nekako je simpatičan i ima neku harizmu.",None,None,Positive,None,None,None,None
56,e ovo je filmčina !,None,None,None,None,Positive,None,None
57,"Predivan film! Poučan, maštovit i likovi su savršeni, nijedan lik nije dobar ili loš, to je ono što najviše volim u japanskim crtaćima.",None,None,None,None,Positive,None,None
59,"Uz Akiru, po mom mišljenju, najbolji manga crtani film svih vremena.",None,None,None,None,Positive,None,None
60,Nemam šta da dodam ili oduzmem recenziji.,None,None,None,None,None,Positive,None
61,"Opalim te golim :) film je super, glumci odlični, recenzija na mestu!",None,None,Positive,None,Positive,Positive,None
64,Film je čuuuudo!!!,None,None,None,None,Positive,None,None
65,"Najbolji ratni film svih vremena. Odgledao sam tu najdužu verziju, od 5 sati, i neverovatno kako je to prošlo. Ma čista genijalnost, savršeno po svim tačkama, od akcije do drame. Nema se šta drugo reći osim najbolji.",None,None,None,None,Positive,None,None
66,"Odličan film, kao i svaki Danski koji sam gledao do sada. Ono što me fascinira kod danaca je to što su toliko hladni, tj. ne iskazuju osećanja ni približno kao mi...",None,None,None,None,Positive,None,None
67,"meni je ovo jedan od najomiljenijih španskih filmova. sjajan triler, drži pažnju sve vreme!",None,None,None,None,Positive,None,None
68,"Ja kao laik mislim da se izgovara sa nečujnim e (Žne), a Odri je Totu. :) Inače jedan od omiljenih filmova, kod koga se mogu zatvoriti oči i slušati soundtrack i skočiti u bunar mašte.",None,None,None,Positive,Positive,None,None
71,Спада у мојих топ 5. филмова.,None,None,None,None,Positive,None,None
72,"Odlična recenzija, u potpunosti se slažem da je film pravo umetničko delo u svakom pogledu. Svako ko sebe smatra ljubiteljem filma nikako ne bi trebao da ga propusti. Odgledao sam ga nekoliko puta i svaki put sam uživao kao da ga gledam prvi put. Film je naprosto čaroban!!!",None,None,None,None,Positive,Positive,None
73,"Fenomenalan kao i prvi deo! Rasprava o Gospodaru prstena i Ratovima zvezda je odlična, svaki put me nasmeje, kao i sve ostalo :))) Hvala na recenziji!",None,None,None,None,Positive,None,None
74,Urnebesno i unikatno! 9/10,None,None,None,None,Positive,None,None
75,"Ha! Legendaran film i odlična recenzija! Mallrats pod hitno da se gleda, to je definitivno (duhovni) nastavak ovog, sva sreća - nebrušenog, dijamanta!",None,None,None,None,Positive,Positive,None
78,Da nije Hju Džekmana ne znam koliko bi sve ovo ovako izgledalo. On kao da živi život Vulverina.,None,None,Positive,None,None,None,None
79,"Prvi film o Vučku je definitivno najvredniji pažnje u meri koliko ovaj to nije, ovo je tipična holivudska ""brza hrana"", loše!",None,None,None,None,Negative,None,None
80,"Sama priča filma je ok..... ali su ga uspeli uništiti krajem, jedina stvar koja mi je privukla pažnju je dodatna završna scena gde se Magneto i Profesor X pojavljuju, koja je u suštini najava za predstojeći X man film... sve u svemu 5/10",Neutral,None,None,None,Neutral,None,None
82,"Ne znam, meni je prvi film o Wukiju mnogo bolji nego ovaj... Pogotovo što obiluje nekim nerealnim čudnim scenama. Kraj oba filma je overkill ali tamo ima bar neku logiku, ovde onako.... U svakom slučaju nije loš ali je lošiji od sva tri dela Xmen-a",None,None,None,None,Neutral,None,None
83,"Odgledao sam film, onda pročitao recenziju! Fil je super, a Mekonahi i 2 klinca razbijaju.",None,None,Positive,None,Positive,None,None
84,"Mud“ je film bez skoro ikakvog pulsa. Čak i kada se ispaljuju hici, intenzitet radnje, sa njom i naša pažnja, ostaju uljuljkani. ""... sve je rečeno u ove dve rečenice po meni... previše statično...",None,None,None,None,Negative,None,None
85,Ja sam sve ubeđenija da ovaj Mekonahi i onaj što je ostavljao devojku za 10 dana nisu ista osoba. :D Divan film. P.S. Ako bude mogla u skorije vreme neka recenzija Take Shelter jer me mrzi da ljudima objašnjavam zašto treba da gledaju film.,None,None,None,None,Positive,None,None
86,odličan film!!,None,None,None,None,Positive,None,None
87,Sećam se ovog filma. Odličan.,None,None,None,None,Positive,None,None
88,"Prosto ne mogu da verujem, da sam ovaj film propustio da odgledam, s obzirom da je snimljen 2007. godine. Za svaku preporuku, pravi triler, koji vas nokautira u poslednjih nekoliko scena.",None,None,None,None,Positive,None,None
90,Kad se setim Blejda ovo je veliki promašaj.......,None,None,None,None,Negative,None,None
91,"5 od 10? Čekam film toliko godina, još sa njim, a on je opet usamljeni borac protiv nemrtvih, ah, rings any bell? Dala bih mu možda 2.5/10",None,None,None,None,Negative,None,None
92,Odličan film...,None,None,None,None,Positive,None,None
93,"Meni je lično draži Sunset od Sunrise. Ali cenim mišljenje, dobra recenzija.",None,None,None,None,None,Positive,None
94,Nije on toliko loš koliko ne može da se otarasi Jax-a... generalno igra jednu te istu ulogu kroz ceo SoA i filmove koje snima za vreme serije. Ali tamo je odličan. I ima fenomenalan naratorski glas.,None,None,Neutral,None,None,None,None
95,Nije se istakao ni dobrom ni lošom glumom. Nije bilo razloga da ga posebno pominjem.,None,None,Neutral,None,None,None,None
96,A ništa od Idris Elbi najjačem glumcu u celom filmu i najperspektivnijem glumcu kojeg trenutno ima u hollywoodu loše loše to da izostaviš vidiš ništa bolji nisi :D ključne segmente izostavljaš,None,None,Positive,None,None,None,None
100,"Sjajan film, jedan od inicijalnih ovog izuzetnog režisera. Hvala za recenziju.",None,Positive,None,None,Positive,None,None
101,"Odgledan kad i ostali Hičkokovi filmovi, pre nekoliko decenija. Remek delo.",None,None,None,None,Positive,None,None
104,Remek delo. Tačka!,None,None,None,None,Positive,None,None
106,"Ne bih da smaram, ali u filmu ""Rope"" ima nekoliko rezova u vidu suptilnih zatamnjenja. I taj je film sjajan. Možda ne spada u Hičkokov ""best of"", ali ga svakom preporučujem. Pozdrav.",None,Positive,None,None,Positive,None,None
107,"Филм је генијалан a нарочито бриљира Џејмс Стјуарт, који је нешто најбоље што је Холивуд изнедрио. Што се тиче Хичкокових филмова више од овога ми се свиђају само North by Northwest и Vertigo",None,Positive,Positive,None,Positive,None,None
108,"Jako neobična recenzija, više kao esej. U svakom slučaju vidi se stručnost autora. Svaka čast",None,None,None,None,None,Positive,None
109,Sve pohvale autoru recenzije. Film je zasluženo masterpiece.,None,None,None,None,Positive,Positive,None
112,Svaka čast za tekst.,None,None,None,None,None,Positive,None
113,odličan horor odavno se nisam ovako iscimao.,None,None,None,None,Positive,None,None
116,gledljiv je. slažem se sa recenzijom i ocenom.,None,None,None,None,Positive,Positive,None
118,"Gledao sam ga više puta, dobar film. :)",None,None,None,None,Positive,None,None
120,"Sjajan film, definitivno spada u top 10 mojih omiljenih...",None,None,None,None,Positive,None,None
122,"Razočaran sam filmom, neverovatno isprazna priča, sa elementima predvidivim od početka do kraja. Kvare draž dobrih stripova, nadam se da više neće uništavati druge stripove svojim adaptacijama, a Dark Horse ima poprilično dobru kolekciju :)",None,None,None,None,Negative,None,None
123,"odličan film, molio bih recenziju filma ptica na žici sa Mel Gibsonom i Goldi holm u glavnim ulogama meni je taj film sjajan",None,None,None,None,Positive,None,None
124,"Baš sam i ja skoro gledao film, i planiram da pogledam čitavu trilogiju. od mene 7.",None,None,None,None,Positive,None,None
125,Istinski klasik iz zlatnog perioda akcionih filmova,None,None,None,None,Positive,None,None
127,Odličan film sa uvek savršenim Havijerom Bardemom.,None,None,Positive,None,Positive,None,None
128,Odličan film!,None,None,None,None,Positive,None,None
130,"Before sunrise i Before sunset... oba odlična, oba ovde recenzirana! Kao i ovaj, mada je ovaj možda za nijansu slabiji ali je takođe vrlo dobro uklopljen u trilogiju.",None,None,None,None,Positive,None,None
140,"Jedanput sam ga slučajno uhvatio na TV-u, i privukao mi je pažnju prvo radom kamere, a onda i jako zanimljivim dijalozima. Sasvim dobar film, i jako dobra recenzija.",None,Positive,None,None,Positive,Positive,None
141,"Ne mogu da verujem da smo se konačno složili u nečemu!!!! Film je minimalističko remek delo, Hawke i Delpy briljiraju. Obavezno pogledati i nastavak Before Sunset, ništa lošiji ako ne i bolji!!! Ovaj treći deo Before Midnight nisam gledao ali uskoro ću, mada me nešto strah da se ne razočaram...",None,None,Positive,None,Positive,Positive,None
142,"Stvarno prekrasan film, onako minimalistički urađen skroz nepretenciozan baš kakve ja volim xD...",None,None,None,None,Positive,None,None
143,"ja ne znam jesmo mi gledali isti film, ali je meni bio toliko loš da ga nisam uspeo do kraja pogledati",None,None,None,None,Negative,None,None
144,"Au kako čudan film. Ima sve elemente da bude ok, ali nije. Prosto mu nešto fali. Mislim da to najbolje objašnjava poslednja rečenica recenzije. Od mene 5/10.",None,None,None,None,Neutral,None,None
146,"Konj je najbolje odigrao ulogu, hvala Zadovoljan recenzijom.",None,None,Negative,None,None,Positive,None
147,ovo je fantastičan erotski triler i ne zaslužuje ocenu 5,None,None,None,None,Positive,None,None
148,"Malo reći kultni film, recenzija promašaj",None,None,None,None,Positive,Negative,None
149,Moram da priznam da mi je Basic Instict 2 više ostao u sećanju. Šeronka tu izgleda opasno a i film je sve u svemu vrlo gledljiv. Naravno nema matorog Daglasa,None,None,None,None,Positive,None,None
151,"Pravi ljubitelji horor filma bi trebalo itekako da preskoče ovo. Film je naivan, dosadan kao i većina ovakvih projekata sa tinejdžerima u šumi. Likovi su smešni, gluma očajna, previše naivno. Film za malu decu.",None,None,Negative,None,Negative,None,None
153,"I mene takođe zanimaju recenzije V/H/S i V/H/S 2, jer su mi to dva iznenađujuće dobra horor filma od kojih nisam očekivao ništa, elem, što se tiče ovog, odličan!",None,None,None,None,Positive,None,None
156,"jako dobar film. možda malo ""nedovršen"" u smislu realizacije ali za vreme u koje je sniman je super. liči malo na Devetu Kapiju Polanskog, još jedan jako dobar film",None,None,None,None,Positive,None,None
157,",, Projekat obiluje klišeima..."" /,,... nema toliko klišea... "". Recenzija ti je malo kontradiktorna.",None,None,None,None,None,Negative,None
158,Film je super da ga gledaš high :),None,None,None,None,Positive,None,None
159,"Gluma Breda Pita katastrofalna, posebno u scenama gde se zahteva akcija. Jasno je zašto je on glavni glumac. Film je vizuelno atraktivan i dinamičan, čak previše za jedan zombi film.",None,None,Negative,None,None,None,Positive
160,Nisam uspeo do kraja da odgledam film.,None,None,None,None,Negative,None,None
161,Film je katastrofalan. Meni je ovaj film rame uz rame sa Battleship-om za najgori film decenije.,None,None,None,None,Negative,None,None
162,"odgledao sam film, oduševio se, dođem na sajt da pročitam recenziju i zaprepastim se! Pitam se da l’ smo odgledali isti film! Svaka preporuka...",None,None,None,None,Positive,Negative,None
163,Film je odličan.,None,None,None,None,Positive,None,None
164,Recenzija je blagi užas.,None,None,None,None,None,Negative,None
165,I meni je jako smetalo što se film kosi sa zdravom logikom. Šablonski film koji je trebao valjda da bude pitak i poučan u isto vreme. Gledaš ga i odmah zaboraviš.,None,None,None,None,Neutral,None,None
166,Jim Carrey odličan. ostali kao da su zalutali u film. Valja pomenuti i Oliviu - odlična je u svakom pogledu.,None,None,Positive,None,None,None,None
167,"Kontaš pogrešno. :) Preskočiti u širokom luku. Dobar film za prekratiti ako si negde poranio skoro 2 sata. U suprotnom, ništa posebno.",None,None,None,None,Neutral,None,None
174,Preslabo. Evo ne znam kad pre je izašao HD snimak na torentu..,None,None,None,None,Negative,None,None
175,"Svaka čast scenaristi, na ideji, stvarno dobar film. :)",Positive,None,None,None,Positive,None,None
177,"Film pogledaš, ali se na kraju pokaješ što si ga gledao, jer sam kraj je toliko loše odrađen, da film Strast mislim da se više nikad neću potruditi da pogledam.",None,None,None,None,Negative,None,None
178,"Nije spektakularan, ali ni skandalozno loš... Jeste predvidiv, ali može se pogledati...",None,None,None,None,Neutral,None,None
179,super film,None,None,None,None,Positive,None,None
181,"Apsolutno se slažem. Film je ništa, jedva sam ga do kraja pogledao. Drive je skroz druga priča; i preporučujem ga, ali ovaj je nula bodova.",None,None,None,None,Negative,Positive,None
182,"Dosadan, spor. Film je jeftino, monotono besmisleno umetničarenje. To je sve. 2/10",Negative,None,None,None,Negative,None,None
184,Odlična recenzija! Mark Wahlberg je načisto lud u filmu. Jedna od boljih komedija zadnjih godina.,None,None,Positive,None,Positive,Positive,None
185,"Ekstremno dobar psihološki triler.. po meni u svom žanru 10/10. Film posle kojeg sam razmišljao dugo. Slažem se sa Bojanom, dve filmske legende su doprinele vrhunskom kvalitetu ovog filma. Nolana smatram za jednog od najboljih reditelja današnjice.",None,Positive,None,None,Positive,None,None
187,Vi ste ovom filmu dali 9 !!!! Pa ovo je neviđeno đubre.... Straaaaašno,None,None,None,None,Negative,None,None
188,Jedan od mojih omiljenih filmova tog žanra. Odličan. Film koji može više puta da se gleda.,None,None,None,None,Positive,None,None
190,Odličan film!,None,None,None,None,Positive,None,None
191,Meni ovaj film uopšte nije bio zanimljiv. Jedini Nolanov koji mi nije legao. Čak mi je i crno-beli 'Following' mnogo bolji od njega.,None,None,None,None,Negative,None,None
192,"Neviđeno sranje !!!! Verovatno je ocena -9/10. Mada čisto sumnjam da može gore od ovog... Naravno, sve je stvar ukusa, ali sa ovim se baš ne slažem",None,None,None,None,Negative,None,None
193,film je objasnio!!!,None,None,None,None,Positive,None,None
194,obožavam ovaj film... pogotovo Pol Đamati-a kako glumi...,None,None,Positive,None,Positive,None,None
195,Hahah. Izdržao 10 min da gledam ovu glupost i ugasio.,None,None,None,None,Negative,None,None
196,meni je ovo solidan film a nisam neki ljubitelj drame,None,None,None,None,Positive,None,None
200,mene ubi i ta toliko iritantna predvidljivost u filmu. U svakom trenutku je moglo da se vidi šta će sledeće da se desi. Na trenutke odličan (što demonstrira Kamberbač) ali zato detinjast u mnogo čemu što si kritikom odlično pokrio.,Negative,None,Positive,None,None,None,None
201,"Da film nije rađen po romanu ili bolje rečeno nosi ime romana ovo bi moglo da prođe. Ovako nepotrebno iživljavanje na steroidima. Po meni ostavite klasike kakvi jesu, ne ide to u ova vremena.",None,None,None,None,Negative,None,None
203,"potpisujem svaku reč kritike!!! film je za tinejdž grupu, izdangubih silno vreme gledajući film...",None,None,None,None,None,Positive,None
209,Baš tako...,None,None,None,None,None,Positive,None
210,I ja sam ga isto tako doživela !,None,None,None,None,None,Positive,None
215,"PONOVIĆU KOMENTAR.. MA I KOKICE KOJE SAM JELA SU MI PRESELE... FILM NE DA NIJE LOŠ, VEĆ JE KLASIČNO SKRNAVLJENJE I LIKA VELIKOG GETSBIJA I AUTORA... UH",None,None,None,None,Negative,None,None
216,"Ne lupaj gluposti, očigledno je da nisi odgledao sve njegove filmove! Šta je sa filmovima ""catch me if you can"" režirao Spilberg i ""revolutionary road"" od Mendeza, onda ""Inception"" od Nolana itd itd. Čovek je glumčina...",None,None,Positive,None,None,None,None
220,"To stoji, mada i bez poznavanja pozadinske priče, ceo film je nekako ""too much"".",None,None,None,None,Negative,None,None
221,"Po meni dobar film za nekog ko nije pročitao knjigu, a za nas koji jesmo predstavlja neku vrstu ismevanja ovog velikog romana :-)",None,None,None,None,Neutral,None,None
222,"Slažem se sa svime izuzev sa komentarom 3D tehnike, 3D je ovde izvukao film, jedina svetla tačka u produkciji.",None,None,None,None,None,None,Positive
232,"zato što 'nisam razumela roman', prati radnju kad se već ubacuješ. neko ko takvom filmu može da da ocenu 8, nema šta dalje da komentariše i ocenjuje, film je dno dna, navela sam ga samo kao primer. momentalno idem na unlike vaše stranice, SMEŠNI STE.",None,None,None,None,Negative,None,None
234,"urnebesna je jedino tvoja ''kritika'' filma, i ja sam knjigu čitala i u originalu više puta, studirala sam američku književnost, i zato ti kažem da se ne praviš pametan, kompetentan si da komentarišeš npr. Teda, veće đubre u životu nisam gledala.",None,None,None,None,Negative,None,None
237,"'kritika'' ti je, najblaže rečeno, smešna.",None,None,None,None,None,Negative,None
239,"sjajna recenzija, hvala",None,None,None,None,None,Positive,None
242,"Nije toliko loš film, ali je isfurano. Nije ni blizu prva dva dela, ti su VRH :D",None,None,None,None,Neutral,None,None
246,1/10 je darežljivo. Stvarno užas od filma. Užas u lošem smislu.,None,None,None,None,Negative,None,None
247,"Jedna od najboljih parodija koje sam ikad gledao, sa genijalno uravnoteženim intelektualnim i imbecilnim humorom. Gorane, baš si me obradovao ovom recenzijom! :D",None,None,None,None,Positive,Positive,None
248,Vazda ti hvala za preporuku! Jedna od boljih parodija koje sam pogledao :),None,None,None,None,Positive,None,None
249,Najbolja parodija ikada.,None,None,None,None,Positive,None,None
250,scenario me podseća na '' Final Analysis''. što neko reče - već viđeno.,Neutral,None,None,None,None,None,None
252,"Jako veliko razočarenje. Čak kad sam ga odgledao nisam ni znao da je Soderbergov, zbog glumaca sam ga video ali definitivno zaobići.",None,None,Positive,None,Negative,None,None
253,"Solidan triler i ništa revolucionarno. Imao sam neki osećaj već viđenog. Moja impresija u brojkama bi ovako izgledala: 5/10 Jedno pitanje za recenzenta, odnosno, kritičara ovog filma: Je l' bi dobio istu ocenu, da je radio neki drugi manje poznati režiser?",None,None,None,None,Neutral,None,None
254,"Slažem se sa komentarima iznad - loš i veoma predvidljiv film, nevešta i neuverljivo osmišljena priča.",None,None,None,None,Negative,None,None
256,"Aflek bi definitivno, kao i Federer, trebalo u penziju... bar što se tiče glume... film je očajan Nadam se da će ""administrator sajta"" ipak odobriti komentar... (sloboda govora, demokratska zemlja...)",None,None,Negative,None,None,None,None
259,"Nepretenciozan, dobro izbalansiran odličan film.",None,None,None,None,Positive,None,None
260,meni je film odličan!,None,None,None,None,Positive,None,None
262,"Veoma poštujem stvaralaštvo Luc Besson-a. On nije moj omiljeni reditelj, ali njegov film Léon: The Professional jeste ( ne kažem da mislim da je najbolji ). Volela bih da pročitam Vaše mišljenje o tom filmu :)",None,Positive,None,None,None,None,None
263,Sasvim solidan film i solidna adaptacija.,None,None,None,None,Positive,None,None
264,"Potpuna PROPAST!!! Nisam se nasmejao niti jednom tokom čitavog trajanja filma, užasan je i ova ocena je previsoka!!! Zaobići u širokom luku i ne kvariti utisak iz prva dva dela!",None,None,None,None,Negative,None,None
265,"potpuno predvidljiv film, ali smešan na momente. Kraj je očajan. Hvala",Negative,None,None,None,Neutral,None,None
268,Odgledao 2x - odličan! Imate li da preporučite još neke slične?,None,None,None,None,Positive,None,None
271,"Sjajan film, presmešan! 10/10 od mene!!!",None,None,None,None,Positive,None,None
272,Odličan film.,None,None,None,None,Positive,None,None
273,"Film bez ikakvog smisla, tragično nedosledan... Iskoristiću Goranovu rečenicu iz jedne druge, skorašnje recenzije - ovaj film bih preporučio jedino onima koji ne vole dublje da ulaze u smisao onoga što gledaju, već samo površinski posmatraju sekvence koje su im servirane pred očima.",None,None,None,None,Negative,None,None
275,fantastičan film oduševio sam se kada sam ga gledao,None,None,None,None,Positive,None,None
277,"Stvar ukusa i interesovanja mnogi bi rekli.... Ali ljudi realno ovaj film je gubljenje vremena. Ko ga ima neka izvoli, ja bih svakako vreme kvalitetnije da provedem.",None,None,None,None,Negative,None,None
278,"Meni je film sjajan, najbolji ove godine",None,None,None,None,Positive,None,None
279,"Ovaj film je ok, ali za desetku nije. Dala bih mu 7, dosta je ravan, gluma je solidna, ali obojica glavnih imaju daleko bolje uloge. Klinci kasnije su za pohvalu. I slažem se s jednim gostom, Blue Valentine je za klasu bolji film.",None,None,Positive,None,Neutral,None,None
280,odličan film..,None,None,None,None,Positive,None,None
281,... vredi svake sekunde... upravo tako. Izvrstan film!!!,None,None,None,None,Positive,Positive,None
283,"http://www.vojvodinanet.com/publ/strani_filmovi/s... ja malopre odgledala, odličan snimak, ima i prevod. Film je čista desetka, predobar... a Bojanova recenzija je sjajna.",None,None,None,None,Positive,Positive,None
289,"Odlična recenzija... A sada ponovo odgledaj ""Blue Valentine"" (2010) od Kianfransa, i ispravi tu recenziju, jer zaista si promašio poentu, jednog sjajnog filma. Bez ljutnje, možda ti nije bio dan, ali uvek možeš da se ispraviš. Pozdrav, i svako dobro...",None,None,None,None,None,Positive,None
290,"Bravo! Konačno neko da napljuje ovo smeće kako treba, već sam počeo da brinem šta nije u redu sa mnom i zašto se meni jedinom ne sviđa ova katastrofa posle svih silnih hvalospeva koje sam pročitao",None,None,None,None,Negative,Positive,None
291,"Redom sve izgleda odlično i ide u prilog filmu.............................................. do pola... :) ""... najgori je definitivno sam scenario koji je pun ne rupa, nego nuklearnih kratera."" Hahahahahahaahahah, pao sam sa stolice :)))))))))))))))",Negative,None,None,None,Negative,None,None
293,Nepotrebno konfuzan i kao na mišiće rađen film.,None,None,None,None,Negative,None,None
294,"Nešto kao (pokušaj) triler-verzija Eternal Sunshine of a Spotless Mind ali koji pokušava da bude realističniji, i neverovatno fejluje u tome. Hipnoza u filmu je strašno neubedljiva. Užas.",None,None,None,None,Negative,None,None
295,"Neverovatno razočarenje s obzirom na izuzetnu ekipu, zaobići u širokom luku. Veoma realna recenzija, sve pohvale.",None,None,None,None,Negative,Positive,None
296,"Hvala na heads-upu :). Slumdog mi je prilično tanak film i i dalje ne shvatam kako je dobio oskara. 127 sati nisam ni imao želju da gledam a takođe sam se nadao da će Trance biti vredan. Posle tvog komentara, preskačem.",None,None,None,None,Negative,None,None
299,"Izbor glavnog glumca je pun pogodak, film me je oduševio.",None,None,Positive,None,Positive,None,None
300,Sasvim solidan film sa sportskom temom.,None,None,None,None,Positive,None,None
304,"Meni je film fenomenalan, u nekom manga-anime fazonu, dočaran na specifičan Mikeov način. Humor odličan, a završna borba sa ""iznenađujućim"" snegom odlična! Kod mene ovaj film ima 10/10 :) Hvala na recenziji.",None,None,None,None,Positive,None,None
305,"Solidan film za ocenu 7. Treba ga pogledati, nije loš. Svim ljubiteljima Sci-fi bih preporučio sledeće fantastične filmove čijih recenzija ovde nema. To su Source Code, The Jacket, V for Vendeta, The man from earth.",None,None,None,None,Positive,None,None
306,"Vizuelno lep, ali prazan film. Kraj filma bezvezan! Ako si ovde dao ocenu 5 što dade Avataru 1, koji je zaslužio dosta veću ocenu! Svaki iole kompetentan kritičar Avataru ne bi dao ocenu jedan, u redu je da ti se film nije dopao, ali moraš biti objektivan!!!",Negative,None,None,None,None,None,Positive
307,"Uistinu, temi se prišlo na krajnje nepatetičan način, i to je film moglo učiniti sjajnim. U tom smislu, bravo za ideju, ali realizacija..",None,None,None,None,Neutral,None,None
308,"Možda recenzija bolje i sa više dinamike dočarava, ono što je trebao film. KAKAV JE FILM Rabbit hole? Bled i dosadan. Ocena me iznenadila i ja ne mislim nipošto da je ovo najviši domet Nikol Kidman. Ne, nikako.",None,None,Neutral,None,Negative,None,None
309,sjajan film meni se izuzetno dopao,None,None,None,None,Positive,None,None
310,Lep film. I od mene 8/10.,None,None,None,None,Positive,None,None
311,"Slažem se potpuno, divan film. Sviđa mi se u kom se pravcu kreće Radnor, dopao mi se i njegov prethodni Happythankyoumoreplease..",None,Positive,None,None,Positive,None,None
312,"Meni se isto to dopalo, pošto mi nedostaje taj stari Vudi Alen. A Liberal Arts je definitivno kompletniji film.",None,None,None,None,Positive,None,None
313,"Vidi se uticaj ranog Vudi Alena (Eni Hol, Menhetn) na Džoša Radnora. Dobar mi je bio i njegov prvi film happythankyoumoreplease, ali mi je Liberal Arts bolji.",None,Positive,None,None,None,None,None
315,"Meni je ovaj film bio ok, ali ništa posebno, tako da ova ocena 5 je sasvim korektna...",None,None,None,None,Neutral,None,None
316,meni je ovo sjajan film džon travolta je fantastično odigrao negativca,None,None,Positive,None,Positive,None,None
